80.67 8628.12 696030
0 5246.21 32.02 25.61
0 44 20.81 35.37
25.88 0 10 11.4
25.88 11.4 40.53 68.91
0 2529.75 65.35 52.28
0 80.31 27.04 21.63
0 101.94 69.5 55.6
0 157.54 60.93 48.74
0 206.28 58.63 46.9
0 2195.09 35.14 28.11
0 263.76 65.38 52.31
0 4193.29 68.41 54.73
0 366.35 34.37 27.5
0 393.85 37.95 30.36
0 3031.6 33.17 26.53
0 516.59 28.26 22.61
0 539.2 39.83 31.86
0 571.06 57.72 46.17
0 617.23 75.42 60.33
0 3483.4 79.89 63.91
0 728.01 27.11 21.69
0 851.95 65.61 52.49
0 777.76 75.42 60.33
0 838.09 17.32 13.86
0 749.7 35.07 28.06
0 904.44 80.67 78.33
0 982.77 31.74 25.39
0 6646.52 78.5 62.8
0 2602.47 80.67 88.48
0 1121.4 47.01 37.61
0 1159.01 16.01 12.81
0 1171.82 72.01 57.61
0 1229.43 13.96 11.17
0 1240.6 75.75 60.6
0 1301.2 58.25 46.6
0 1347.8 50.3 40.24
0 1388.04 73.99 59.19
0 1447.23 52.14 41.71
0 1488.94 70.06 56.05
0 424.21 80.67 92.38
0 1569.48 16.43 13.15
0 1582.63 52.57 42.06
0 1624.69 76.53 61.23
0 1685.92 28 22.4
0 1708.32 24.75 19.8
0 1728.12 36.61 29.28
0 1978.74 21.74 17.39
0 1813.3 79.84 63.87
0 4360.8 62.87 50.3
0 3612.23 29.66 23.73
0 6175.67 22.86 18.29
0 1757.4 69.87 55.9
0 1996.13 80.67 79.73
0 2075.86 12.55 10.04
0 2085.9 77.33 61.86
0 2147.76 59.16 47.33
0 4734.41 36.59 29.27
0 2223.2 42.43 33.94
0 2257.14 51.91 41.53
0 2298.67 46.72 37.37
0 2336.04 80.67 104.72
0 2440.76 39.69 31.75
0 2472.51 71.55 57.24
40.53 0 40.14 50.17
0 4306.83 53.1 42.48
0 1053.38 80.67 68.02
0 2690.95 51.34 41.08
0 2732.03 71.48 57.19
0 2789.22 72.8 58.24
0 3983.75 15 12
0 4534.18 79.37 63.5
0 2976 57.66 46.13
0 3022.13 11.83 9.47
0 1544.99 30.62 24.49
0 3058.13 79.61 63.69
0 3121.82 23.85 19.08
0 3140.9 58.57 46.85
0 4433.23 80.67 87.36
0 3221.69 30.19 24.15
0 3245.84 76.89 61.51
0 3307.35 34.33 27.47
0 3334.82 14.49 11.59
0 3346.41 41.23 32.98
0 3379.39 23.98 19.18
0 3398.57 22.75 18.2
0 3416.77 72.11 57.69
0 3474.46 11.18 8.94
0 677.56 63.07 50.45
0 3547.31 14.92 11.93
0 3559.24 66.24 52.99
0 1899.57 25.79 20.63
0 3635.96 74.18 59.34
0 3695.3 75.63 60.5
0 3755.8 66.66 53.33
0 2904.93 80.67 71.07
0 3851.2 80.67 70.66
0 3921.86 77.36 61.89
0 5647.04 80.67 85.91
0 3995.75 61.16 48.92
0 4044.67 33.91 27.13
0 4071.8 80.67 121.49
0 316.07 62.85 50.28
0 4248.02 73.52 58.81
0 2582.03 25.54 20.44
0 4349.31 14.36 11.49
0 1877.17 28 22.4
0 4411.1 27.66 22.13
0 0 25.88 44
0 4520.59 16.99 13.59
0 5855.86 70.43 56.34
0 4597.68 56.12 44.9
0 4642.58 61.97 49.57
0 4692.15 52.82 42.26
0 7849.79 67.75 54.2
0 4763.68 70.71 56.57
0 4820.25 42.07 33.66
0 4853.91 63.99 51.19
0 5305 78.22 62.58
