131.27 11961.9 1.57024e+06
0 0 13.28 22.58
13.28 0 19.4 32.98
32.68 0 48.48 82.42
32.68 82.42 67.56 114.86
67.56 0 63.71 79.63
0 197.28 57.12 45.69
0 242.97 73.48 58.79
0 301.76 57.25 45.8
0 347.56 29.58 23.66
0 371.22 64.71 51.77
0 422.99 48.09 38.47
0 461.46 47 37.6
0 499.06 35.99 28.79
0 527.85 54.54 43.63
0 571.48 97.81 78.25
0 649.73 46.48 37.18
0 686.91 34.64 27.71
0 714.62 76.68 61.34
0 775.96 37.38 29.91
0 805.87 60.45 48.36
0 854.23 66.41 53.13
0 907.36 56.46 45.17
0 952.53 25.25 20.2
0 972.73 11.62 9.3
0 982.03 81.64 65.31
0 1047.34 46.37 37.09
0 1084.43 66.97 53.58
0 1138.01 47.96 38.37
0 1176.38 65.12 52.1
0 1228.48 46.31 37.05
0 1265.53 24.39 19.51
0 1285.04 68.57 54.86
0 1339.9 45.62 36.5
0 1376.4 60.37 48.3
0 1424.7 65.38 52.31
0 1477.01 40.5 32.4
0 1509.41 12.55 10.04
0 1519.45 42.35 33.88
0 1553.33 13.23 10.58
0 1563.91 67.5 54
0 1617.91 100.4 80.32
0 1698.23 44.37 35.5
0 1733.73 50.3 40.24
0 1773.97 44.5 35.6
0 1809.57 17.75 14.2
0 1823.77 63.58 50.86
0 1874.63 11.4 9.12
0 1883.75 39.69 31.75
0 1915.5 40.12 32.1
0 1947.6 63.79 51.03
0 1998.63 21.79 17.44
0 2016.07 83.13 66.51
0 2082.58 65.92 52.73
0 2135.31 13.78 11.03
0 2146.34 40.31 32.25
0 2178.59 59.86 47.89
0 2226.48 38 30.4
0 2256.88 45.18 36.14
0 2293.02 26.83 21.47
0 2314.49 42.43 33.94
0 2348.43 25.1 20.08
0 2368.51 34.91 27.93
0 2396.44 24.24 19.39
0 2415.83 62.03 49.62
0 2465.45 57.92 46.34
0 2511.79 37.15 29.72
0 2541.51 76.44 61.15
0 2602.66 18.47 14.78
0 2617.44 94.27 75.42
0 2692.86 16.99 13.59
0 2706.45 42.28 33.82
0 2740.27 33.54 26.83
0 2767.1 54.08 43.27
0 2810.37 35.36 28.28
0 2838.65 27.34 21.87
0 2860.52 46.96 37.57
0 2898.09 94.87 75.89
0 2973.98 33.35 26.68
0 3000.66 35.97 28.77
0 3029.43 61.94 49.55
0 3078.98 44.5 35.6
0 3114.58 13.42 10.73
0 3125.31 17.43 13.94
0 3139.25 93.73 74.99
0 3214.24 88.8 71.04
0 3285.28 44.53 35.62
0 3320.9 68.33 54.66
0 3375.56 69.87 55.9
0 3431.46 20.95 16.76
0 3448.22 33.24 26.59
0 3474.81 78.37 62.7
0 3537.51 80.33 64.26
0 3601.77 18.03 14.42
0 3616.19 54.2 43.36
0 3659.55 52.29 41.83
0 3701.38 96.24 76.99
0 3778.37 77.08 61.66
0 3840.03 43.3 34.64
0 3874.67 49.3 39.44
0 3914.11 88.32 70.65
0 3984.76 61.12 48.9
0 4033.66 35.37 28.3
0 4061.96 21.65 17.32
0 4079.28 77.75 62.2
0 4141.48 76.9 61.52
0 4203 48.06 38.45
0 4241.45 82.87 66.3
0 4307.75 37.75 30.2
0 4337.95 77.14 61.71
0 4399.66 43.82 35.05
0 4434.71 102.12 81.69
0 4516.4 37.25 29.8
0 4546.2 90.53 72.43
0 4618.63 39.59 31.67
0 4650.3 77.69 62.15
0 4712.45 40.62 32.5
0 4744.95 66.39 53.11
0 4798.06 19.27 15.41
0 4813.47 85.83 68.66
0 4882.13 35.5 28.4
0 4910.53 20 16
0 4926.53 61.11 48.89
0 4975.42 37.08 29.66
0 5005.08 12.85 10.28
0 5015.36 44.89 35.91
0 5051.27 73.01 58.41
0 5109.68 52.15 41.72
0 5151.4 35.11 28.09
0 5179.49 57.01 45.61
0 5225.1 90.53 72.43
0 5297.53 31.48 25.19
0 5322.72 39.4 31.52
0 5354.24 46.61 37.29
0 5391.53 34.28 27.42
0 5418.95 80.85 64.68
0 5483.63 51.99 41.59
0 5525.22 52.49 41.99
0 5567.21 47.81 38.25
0 5605.46 15.65 12.52
0 5617.98 14.75 11.8
0 5629.78 41.31 33.05
0 5662.83 49.75 39.8
0 5702.63 13.13 10.51
0 5713.14 85.04 68.03
0 5781.17 74.3 59.44
0 5840.61 72.87 58.3
0 5898.91 23.95 19.16
0 5918.07 48.17 38.53
0 5956.6 45.55 36.44
0 5993.04 66.97 53.58
0 6046.62 40.99 32.79
0 6079.41 52.54 42.03
0 6121.44 73.48 58.79
0 6180.23 65.81 52.65
0 6232.88 16.09 12.87
0 6245.75 73.52 58.81
0 6304.56 25.25 20.2
0 6324.76 21.91 17.53
0 6342.29 19.36 15.49
0 6357.78 41.29 33.03
0 6390.81 64.69 51.75
0 6442.56 29.15 23.32
0 6465.88 42.75 34.2
0 6500.08 28.28 22.63
0 6522.71 42.43 33.94
0 6556.65 42.43 33.94
0 6590.59 40.12 32.1
0 6622.69 30.58 24.46
0 6647.15 36.71 29.37
0 6676.52 57.75 46.2
0 6722.72 25.76 20.61
0 6743.33 12.75 10.2
0 6753.53 24.39 19.51
0 6773.04 32.25 25.8
0 6798.84 70.52 56.41
0 6855.25 25.4 20.32
0 6875.57 52.44 41.95
0 6917.52 78.66 62.93
0 6980.45 41.53 33.23
0 7013.68 50.35 40.28
0 7053.96 37.43 29.95
0 7083.91 42.25 33.8
0 7117.71 24.39 19.51
0 7137.22 35.5 28.4
0 7165.62 24.19 19.35
0 7184.97 38.47 30.78
0 7215.75 66.39 53.11
0 7268.86 34.19 27.35
0 7296.21 39.12 31.29
0 7327.5 68.67 54.93
0 7382.43 91.75 73.4
0 7455.83 60.75 48.6
0 7504.43 45.17 36.13
0 7540.56 12.5 10
0 7550.56 52.96 42.37
0 7592.93 85.29 68.23
0 7661.16 46.58 37.27
0 7698.43 48.09 38.47
0 7736.9 67.82 54.26
0 7791.16 70.36 56.28
0 7847.44 55.34 44.27
0 7891.71 76.19 60.95
0 7952.66 55.68 44.54
0 7997.2 16.66 13.33
0 8010.53 44.27 35.42
0 8045.95 34.28 27.42
0 8073.37 91.67 73.34
0 8146.71 58.31 46.65
0 8193.36 12.55 10.04
0 8203.4 12.25 9.8
0 8213.2 24.03 19.22
0 8232.42 42.43 33.94
0 8266.36 20.62 16.49
0 8282.85 39.39 31.51
0 8314.36 13.87 11.1
0 8325.46 33 26.4
0 8351.86 17.03 13.62
0 8365.48 74.4 59.52
0 8425 63.54 50.83
0 8475.83 57.62 46.1
0 8521.93 36.43 29.15
0 8551.08 80.12 64.09
0 8615.17 40.84 32.67
0 8647.84 65.99 52.79
0 8700.63 49.05 39.24
0 8739.87 90.99 72.8
0 8812.67 68.76 55.01
0 8867.68 30.98 24.79
0 8892.47 24.37 19.49
0 8911.96 52.61 42.09
0 8954.05 16.43 13.15
0 8967.2 85.99 68.8
0 9036 91.24 72.99
0 9108.99 27.25 21.8
0 9130.79 72.36 57.89
0 9188.68 47.75 38.2
0 9226.88 11.29 9.03
0 9235.91 82.5 66
0 9301.91 52.25 41.8
0 9343.71 62.53 50.02
0 9393.73 54.54 43.63
0 9437.36 67.58 54.07
0 9491.43 65.02 52.02
0 9543.45 16.43 13.15
0 9556.6 20.92 16.73
0 9573.33 101.35 81.08
0 9654.41 69.78 55.82
0 9710.23 18.03 14.42
0 9724.65 43.86 35.09
0 9759.74 27.75 22.2
0 9781.94 47.55 38.04
0 9819.98 50.01 40.01
0 9859.99 31.02 24.82
0 9884.81 37.55 30.04
0 9914.85 80.31 64.25
0 9979.1 89.38 71.5
0 10050.6 29.58 23.66
0 10074.3 59.22 47.38
0 10121.6 46.77 37.42
0 10159.1 15 12
0 10171.1 62.52 50.02
0 10221.1 49.3 39.44
0 10260.5 83.76 67
0 10327.5 85.73 68.59
0 10396.1 36.74 29.39
0 10425.5 98.59 78.87
0 10504.4 37.88 30.31
0 10534.7 69.71 55.77
0 10590.4 29.28 23.43
0 10613.9 97.81 78.25
0 10692.1 62.57 50.06
0 10742.2 16.58 13.27
0 10755.5 31.26 25.01
0 10780.5 43.59 34.87
0 10815.3 54.54 43.63
0 10859 48.62 38.89
0 10897.9 16.09 12.87
0 10910.7 14.19 11.35
0 10922.1 39.45 31.56
0 10953.6 52.15 41.72
0 10995.4 19.62 15.7
0 11011.1 67.56 54.05
0 11065.1 49.65 39.72
0 11104.8 49.14 39.31
0 11144.1 94.08 75.26
0 11219.4 61.62 49.3
0 11268.7 88.49 70.79
0 11339.5 18.84 15.07
0 11354.6 16.32 13.05
0 11367.6 96.34 77.07
0 11444.7 25.69 20.55
0 11465.2 85.29 68.23
0 11533.5 36.23 28.98
0 11562.4 30.17 24.13
0 11586.6 76.17 60.93
0 11647.5 77.75 62.2
0 11709.7 81.04 64.83
0 11774.5 83.56 66.85
0 11841.4 60.1 48.08
0 11889.5 90.55 72.44
0 1 V 2 3 H V 4 V 5 H 6 H 7 H 8 H 9 H 10 H 11 H 12 H 13 H 14 H 15 H 16 H 17 H 18 H 19 H 20 H 21 H 22 H 23 H 24 H 25 H 26 H 27 H 28 H 29 H 30 H 31 H 32 H 33 H 34 H 35 H 36 H 37 H 38 H 39 H 40 H 41 H 42 H 43 H 44 H 45 H 46 H 47 H 48 H 49 H 50 H 51 H 52 H 53 H 54 H 55 H 56 H 57 H 58 H 59 H 60 H 61 H 62 H 63 H 64 H 65 H 66 H 67 H 68 H 69 H 70 H 71 H 72 H 73 H 74 H 75 H 76 H 77 H 78 H 79 H 80 H 81 H 82 H 83 H 84 H 85 H 86 H 87 H 88 H 89 H 90 H 91 H 92 H 93 H 94 H 95 H 96 H 97 H 98 H 99 H 100 H 101 H 102 H 103 H 104 H 105 H 106 H 107 H 108 H 109 H 110 H 111 H 112 H 113 H 114 H 115 H 116 H 117 H 118 H 119 H 120 H 121 H 122 H 123 H 124 H 125 H 126 H 127 H 128 H 129 H 130 H 131 H 132 H 133 H 134 H 135 H 136 H 137 H 138 H 139 H 140 H 141 H 142 H 143 H 144 H 145 H 146 H 147 H 148 H 149 H 150 H 151 H 152 H 153 H 154 H 155 H 156 H 157 H 158 H 159 H 160 H 161 H 162 H 163 H 164 H 165 H 166 H 167 H 168 H 169 H 170 H 171 H 172 H 173 H 174 H 175 H 176 H 177 H 178 H 179 H 180 H 181 H 182 H 183 H 184 H 185 H 186 H 187 H 188 H 189 H 190 H 191 H 192 H 193 H 194 H 195 H 196 H 197 H 198 H 199 H 200 H 201 H 202 H 203 H 204 H 205 H 206 H 207 H 208 H 209 H 210 H 211 H 212 H 213 H 214 H 215 H 216 H 217 H 218 H 219 H 220 H 221 H 222 H 223 H 224 H 225 H 226 H 227 H 228 H 229 H 230 H 231 H 232 H 233 H 234 H 235 H 236 H 237 H 238 H 239 H 240 H 241 H 242 H 243 H 244 H 245 H 246 H 247 H 248 H 249 H 250 H 251 H 252 H 253 H 254 H 255 H 256 H 257 H 258 H 259 H 260 H 261 H 262 H 263 H 264 H 265 H 266 H 267 H 268 H 269 H 270 H 271 H 272 H 273 H 274 H 275 H 276 H 277 H 278 H 279 H 280 H 281 H 282 H 283 H 284 H 285 H 286 H 287 H 288 H 289 H 290 H 291 H 292 H 293 H 294 H 295 H 296 H 297 H 298 H 299 H
